title,type,release_year,rating,duration
Sankofa,Movie,1993,TV-MA,"125 min"
"Je Suis Karl",Movie,2021,TV-MA,"127 min"
"Avvai Shanmughi",Movie,1996,TV-PG,"161 min"
Jeans,Movie,1998,TV-14,"166 min"
"Minsara Kanavu",Movie,1997,TV-PG,"147 min"
Jaws,Movie,1975,PG,"124 min"
"Training Day",Movie,2001,R,"122 min"
"Tughlaq Durbar",Movie,2020,TV-14,"145 min"
"Tughlaq Durbar (Telugu)",Movie,2021,TV-14,"145 min"
"Omo Ghetto: the Saga",Movie,2020,TV-MA,"147 min"
"Angamaly Diaries",Movie,2017,TV-14,"128 min"
Anjaam,Movie,1994,TV-14,"143 min"
Chappie,Movie,2015,R,"121 min"
"Clear and Present Danger",Movie,1994,PG-13,"142 min"
"Cold Mountain",Movie,2003,R,"154 min"
"Freedom Writers",Movie,2007,PG-13,"124 min"
"Mystery Men",Movie,1999,PG-13,"121 min"
"Once Upon a Time in America",Movie,1984,R,"229 min"
"Tears of the Sun",Movie,2003,R,"121 min"
"The Guns of Navarone",Movie,1961,TV-14,"156 min"
"In the Line of Fire",Movie,1993,R,"129 min"
Thimmarusu,Movie,2021,TV-14,"125 min"
"C Kkompany",Movie,2008,TV-14,"127 min"
"EMI: Liya Hai To Chukana Padega",Movie,2008,TV-14,"128 min"
"Koi Aap Sa",Movie,2006,TV-14,"135 min"
"Krishna Cottage",Movie,2004,TV-14,"124 min"
"Kucch To Hai",Movie,2003,TV-14,"136 min"
"Kyaa Kool Hai Hum",Movie,2005,TV-MA,"165 min"
"Kyaa Kool Hain Hum 3",Movie,2016,TV-MA,"124 min"
"Kyaa Super Kool Hain Hum",Movie,2012,TV-MA,"136 min"
"Kyo Kii... Main Jhuth Nahin Bolta",Movie,2001,TV-14,"150 min"
"Once Upon a Time in Mumbaai",Movie,2010,TV-14,"133 min"
"Once Upon a Time in Mumbai Dobaara!",Movie,2013,TV-14,"142 min"
"SAS: Rise of the Black Swan",Movie,2021,R,"124 min"
"The Dirty Picture",Movie,2011,TV-14,"145 min"
Boomika,Movie,2021,TV-14,"122 min"
"Boomika (Hindi)",Movie,2021,TV-14,"122 min"
"Boomika (Malayalam)",Movie,2021,TV-14,"122 min"
"Boomika (Telugu)",Movie,2021,TV-14,"122 min"
Bombay,Movie,1995,TV-14,"135 min"
"Nneka The Pretty Serpent",Movie,2020,TV-14,"140 min"
"O Kadhal Kanmani",Movie,2015,TV-14,"133 min"
"The Piano",Movie,1993,R,"121 min"
"La diosa del asfalto",Movie,2020,TV-MA,"127 min"
"Takizawa Kabuki ZERO 2020 The Movie",Movie,2020,TV-PG,"139 min"
"Chennai Express",Movie,2013,TV-14,"135 min"
"Tango Feroz",Movie,1993,TV-MA,"124 min"
"Catch Me If You Can",Movie,2002,PG-13,"142 min"
Inception,Movie,2010,PG-13,"148 min"
Magnolia,Movie,1999,R,"189 min"
Seabiscuit,Movie,2003,PG-13,"141 min"
"Space Cowboys",Movie,2000,PG-13,"130 min"
"Valentine's Day",Movie,2010,PG-13,"125 min"
